feature,importance,source_feature
categorical__brand_model_Honda | SH,0.13263620252367794,brand_model
categorical__model_SH,0.12061951099213974,model
numeric__is_high_capacity,0.0981255784120905,is_high_capacity
numeric__age_squared,0.09028620725348147,age_squared
categorical__capacity_Trên 175 cc,0.08726924934562595,capacity
numeric__age,0.07651987036811887,age
numeric__description_length,0.02642151064591956,description_length
categorical__bike_type_Xe số,0.02042672835725293,bike_type
numeric__is_import_keyword,0.019883827804016953,is_import_keyword
numeric__title_length,0.018828495843358623,title_length
numeric__km_per_year,0.018508922287570354,km_per_year
categorical__brand_model_Suzuki | Sport / Xipo,0.016262904182410214,brand_model
categorical__brand_Honda,0.014047901047150209,brand
numeric__log_km,0.013426300489199159,log_km
numeric__km_clean,0.01334525521211769,km_clean
categorical__brand_Piaggio,0.012927428801102566,brand
categorical__bike_type_Tay côn/Moto,0.012507451266161955,bike_type
categorical__model_Sport / Xipo,0.011991695001523863,model
categorical__origin_Thái Lan,0.011441547614695409,origin
categorical__origin_Trung Quốc,0.00867177341240518,origin
categorical__brand_model_Yamaha | Exciter,0.008342902328080978,brand_model
categorical__model_Exciter,0.007505823253182382,model
categorical__capacity_100 - 175 cc,0.006895085565807485,capacity
categorical__origin_Nước khác,0.005587968027303025,origin
categorical__origin_Việt Nam,0.005180294057529237,origin
categorical__brand_SYM,0.004936168465742,brand
categorical__model_YAZ,0.004295888139359852,model
categorical__bike_type_Tay ga,0.004289369814334293,bike_type
categorical__brand_model_Yamaha | YAZ,0.003958850650939614,brand_model
categorical__brand_Yamaha,0.0038522390617956614,brand
categorical__segment_Honda | SH | 2010-2014,0.0036773816708402154,segment
categorical__model_Future,0.002864098587152264,model
categorical__segment_Honda | Tay ga,0.0027711268742651,segment
categorical__segment_Yamaha | Tay côn/Moto,0.0027285767855951323,segment
categorical__brand_model_Honda | Future,0.0026726699131718007,brand_model
numeric__is_collectible_keyword,0.0023478635985245628,is_collectible_keyword
categorical__origin_Nhật Bản,0.0022812585718278897,origin
categorical__brand_model_Honda | Vario,0.0022677251321767513,brand_model
categorical__capacity_Dưới 50 cc,0.002078185497456012,capacity
categorical__district_Thành phố Thủ Đức,0.0019508208257821619,district
categorical__model_Vario,0.0018602357880107378,model
categorical__model_Dòng khác,0.001854522117691475,model
categorical__brand_Harley Davidson,0.0018057805177625424,brand
categorical__brand_model_Honda | Wave,0.0017685798641560108,brand_model
categorical__brand_model_Yamaha | Nouvo,0.001667548838531875,brand_model
categorical__district_Huyện Hóc Môn,0.001651499554965156,district
categorical__origin_Đang cập nhật,0.0016488157388423461,origin
categorical__origin_Hàn Quốc,0.001634679732590035,origin
categorical__district_Quận Tân Bình,0.0016127613038807382,district
categorical__segment_Tay côn/Moto | Trên 175 cc,0.0016069629995168011,segment
categorical__district_Quận 8,0.0015900682050424787,district
categorical__district_Quận Bình Thạnh,0.001577836512439908,district
categorical__capacity_50 - 100 cc,0.001559063309258598,capacity
categorical__model_Nouvo,0.0015525254916248206,model
categorical__model_SH Mode,0.001440356698911664,model
categorical__origin_Đức,0.0014212195470588076,origin
categorical__district_Quận 12,0.0013846702177902834,district
categorical__district_Quận Bình Tân,0.0013603852026601593,district
categorical__brand_model_Honda | SH Mode,0.0012917730907141894,brand_model
numeric__km_suspicious,0.0012594707676123302,km_suspicious
categorical__model_Wave,0.0012475710372828997,model
categorical__district_Huyện Bình Chánh,0.0012052383120496498,district
categorical__brand_model_Yamaha | Dòng khác,0.0011120940978538293,brand_model
categorical__segment_Honda | Tay côn/Moto,0.0010776312040146592,segment
categorical__segment_Piaggio | Vespa | 2020-2025,0.001066155813874952,segment
