segment,residual_median,residual_mad,p01,p10,p90,p99,residual_scale
Honda | 67 | Trước 2000,0.21825001495584484,4.619659546706616,1.05,4.15,28.5,46.5,6.849107243947229
Honda | Air Blade | 2000-2009,-0.5701873480090125,1.4791035203949718,4.92,6.5,15.479999999999999,316.7999999999941,2.192918879337585
Honda | Air Blade | 2010-2014,0.5608566852555477,2.078019871796265,0.8959999999999999,8.26,18.680000000000007,42.60000000000005,3.080872261925142
Honda | Air Blade | 2015-2019,0.45240239196247956,2.877449655951306,3.880000000000001,13.2,27.140000000000008,58.29999999999998,4.266106859913406
Honda | Air Blade | 2020-2025,0.9789668951951569,4.617540556972074,1.0,18.5,50.0,60.800000000000026,6.845965629766797
Honda | Blade | 2015-2019,-1.2720900532036126,1.4953611066688026,2.77188,7.48,18.299999999999994,27.511999999999997,2.217022376747167
Honda | Click | 2000-2009,-0.9239337105932357,0.852926286097679,6.569,6.930000000000001,9.85,11.994,1.2645485117684188
Honda | Click | 2010-2014,0.30066714890614055,3.3219492631200085,5.23,6.0,30.0,34.08,4.925121977501724
Honda | Cub | Trước 2000,-0.4252647940612393,4.090034244622075,1.445,3.95,22.300000000000026,57.98999999999994,6.063884771076688
Honda | Dream | 2000-2009,-0.23333752030364519,3.7454081565225863,2.3,2.64,27.820000000000004,62.279999999999994,5.5529421328603865
Honda | Dream | Trước 2000,-0.20311044945869483,8.58698200428826,1.6955,6.8088888,39.8,95.09000000000013,12.731059519557773
Honda | Dylan | 2000-2009,-2.4356870446167598,4.317047352185991,2.1129499999999997,9.0,37.0,74.49999999999997,6.40045440435095
Honda | Dòng khác | 2000-2009,0.18740042484234998,3.5648015548544407,2.0,3.12,31.80000000000001,239.0799999999992,5.285174785227193
Honda | Dòng khác | 2020-2025,7.966490457333336,15.713349309593845,3.6670000000000003,9.98,110.99999999999997,405.35999999999984,23.296611686403832
Honda | Dòng khác | Trước 2000,0.8959263561792685,8.160404151288391,4.048,4.7,108.0,143.99999999999994,12.098615194700168
Honda | Future | 2000-2009,-0.195958492027275,5.8608990433649115,3.7,8.0,39.5,60.0,8.689368921692818
Honda | Future | 2010-2014,2.404940021818792,4.96346712954152,0.45792,5.2,36.599999600000004,58.19600000000001,7.358836366258258
Honda | Future | 2015-2019,0.6095397974094219,3.0797637124925252,4.7,12.0,27.0,34.80000000000001,4.566057680141418
Honda | Future | 2020-2025,0.9294672966094453,2.492152043728728,0.017797,18.400000000000002,36.0,40.878,3.694864620032212
Honda | Lead | 2000-2009,-1.354382538564959,1.1519246585696088,3.512,4.68,8.56,9.975999999999999,1.707843498795302
Honda | Lead | 2010-2014,-0.5382218197819544,1.5440777917445585,5.761,6.970000000000001,16.0,18.064999999999998,2.2892497340404825
Honda | Lead | 2015-2019,0.6098380997601502,1.9998767034975415,5.25,14.5,29.8,43.25,2.965017200605455
Honda | Lead | 2020-2025,2.692608759860537,3.0896203742660724,7.146000000000001,27.6,44.96,55.08999999999998,4.580671166886878
Honda | PCX | 2010-2014,3.6440434709799145,3.6602052954869517,7.4399999999999995,13.0,25.18,33.319999999999986,5.426620371088954
Honda | SH Mode | 2015-2019,1.425700522652992,3.0256717788542744,5.3202,28.65,43.2,61.364620000000045,4.485860979329347
Honda | SH Mode | 2020-2025,3.8174459132808742,2.995707543320915,2.6306000000000003,48.0,65.5,67.83,4.441436003727588
Honda | SH | 2000-2009,1.5824630289550754,14.490674056713946,16.05,28.349999999999998,109.70000000000002,143.69999999999993,21.483873356484096
Honda | SH | 2010-2014,0.744913529898831,27.14247292682779,27.55,44.25,194.0,239.64999999999978,40.241430361314876
Honda | SH | 2015-2019,1.5436008522022888,6.298672228714839,0.15342,39.0,90.0,266.39999999999986,9.33841144629262
Honda | SH | 2020-2025,1.9508968372286688,8.358676932175527,0.8650000000000001,66.4,122.9,290.2500000000002,12.392574419643436
Honda | Tay côn/Moto,0.34773338848088997,7.942114647131895,0.1146659,8.66,139.04000000000002,280.1,11.774979175837746
Honda | Tay ga,1.1060250305075456,6.439687238710455,2.41,5.66,61.45,116.20000000000061,9.54748030011212
Honda | Vario | 2015-2019,-0.44698153669713037,5.531327551407145,3.7794249999999985,28.5,60.0,93.29999999999998,8.200746227716232
Honda | Vario | 2020-2025,1.5898587922193173,4.14580671028466,25.12,29.5999994,47.400000000000006,52.879999999999995,6.146573028668036
Honda | Vision | 2010-2014,0.10249877665650864,1.6287784625256592,6.9399999999999995,8.8,13.2,15.299999999999997,2.4148269485405423
Honda | Vision | 2015-2019,-0.2937034998097765,1.7012449234082503,9.808,15.2,23.5,26.43999999999999,2.522265723445072
Honda | Vision | 2020-2025,-0.3749078020892824,2.5009397302483656,3.8260000000000005,20.25,35.5,89.25000000000004,3.7078932440662267
Honda | Wave | 2000-2009,0.11650359216794559,2.551191857762629,1.3780000000000001,3.6800000000000006,23.5,54.14000000000007,3.782397048318874
Honda | Wave | 2010-2014,-0.046598696795729255,1.2457081531336232,1.662,3.5,10.770000000000003,14.189999999999998,1.8468869078359096
Honda | Wave | 2015-2019,0.34099917791961154,1.7886767368546135,1.837,3.5700000000000003,14.649999999999999,39.99999963,2.65189213006065
Honda | Wave | 2020-2025,0.16475432990813665,2.350345484599787,2.2840000000000003,10.74,22.60000000000001,81.16,3.4846222154676436
Honda | Winner X | 2015-2019,-0.54253451008349,1.6013929429724216,13.25,15.9,21.25,22.75,2.374225177250912
Honda | Winner X | 2020-2025,0.5968849162217875,2.442829696941562,8.635,17.0,31.0,38.70399999999999,3.6217393086855596
Honda | Winner | 2015-2019,-0.21965827355828527,2.411215462686098,0.72935,11.65,20.5,27.460000000000015,3.574868044978409
Honda | Xe số,-0.6032597254753682,4.468777767535535,1.504,2.9,30.900000000000006,107.69999999999985,6.625409918148184
Hãng khác | Dòng khác | 2000-2009,-0.6389118299539609,1.6180000230609373,1.249,2.23,9.350000000000001,93.50000000000009,2.3988468341901457
Hãng khác | Dòng khác | 2010-2014,-0.9919767785591609,1.7053106984807767,1.936,2.38,18.199999999999996,73.40000000000003,2.528293641567599
Hãng khác | Dòng khác | 2015-2019,-1.525006129815317,2.4814379641498387,0.6648,2.4000000000000004,26.60000000000001,52.95999999999998,3.6789799256485507
Hãng khác | Dòng khác | 2020-2025,-1.5482738590000338,5.23345184408543,2.25,4.7,41.5,154.0,7.759115704041058
Hãng khác | Dòng khác | Trước 2000,-0.5616276493980905,6.776791982302646,0.615,2.22,48.999999999999986,95.39999999999999,10.047271792961903
Kawasaki | Tay côn/Moto,10.27035507322282,48.87404003361556,1.8413,22.240000000000002,193.00000000000006,318.79999999999995,72.46065175383842
Nhóm hiếm,-1.2070582467139621,5.005564910029574,1.2862699999999998,3.91,69.69999999999996,374.5000000000001,7.421250535609846
Piaggio | Liberty | 2010-2014,-0.13216458711026657,1.4202888486768783,3.495,5.5,12.0,13.967,2.10572024704834
Piaggio | Tay ga,0.5640683778553504,4.748710855187506,2.859,6.0,61.35000000000001,95.22999952999999,7.040438713900995
Piaggio | Vespa | 2010-2014,0.23322581744537985,3.397093442222948,4.364,6.0,29.98,40.760000000000005,5.036530737439742
Piaggio | Vespa | 2015-2019,2.55230115596261,4.876882421892219,2.1493824,22.0,48.5,58.99999999999999,7.230465878697403
Piaggio | Vespa | 2020-2025,0.36441400194396323,6.544919954217679,3.379492,45.300000000000004,77.9,417.25000000000045,9.70349832412313
SYM | Attila | 2000-2009,-0.11338217893836333,0.9058596908353205,1.21348113,1.58,4.0,6.190389999999998,1.343027577632446
