feature,importance
model_encoded_SH,0.27049934725769176
age,0.2478390766276518
capacity_encoded_Trên 175 cc,0.08667469627433307
bike_type_encoded_Xe số,0.03937425611703623
km,0.023043405707106116
description_length,0.021547113922284828
bike_type_encoded_Tay côn/Moto,0.021281298837183764
brand_encoded_Honda,0.021253766739877396
model_encoded_Exciter,0.020807208480494877
brand_encoded_Piaggio,0.018386501324829933
title_length,0.016853266828329428
origin_encoded_Trung Quốc,0.01540946286372537
model_encoded_Sport / Xipo,0.013594935552304241
origin_encoded_Thái Lan,0.012433791589922404
capacity_encoded_100 - 175 cc,0.011150885523647507
brand_encoded_SYM,0.01064985530119251
model_encoded_Nouvo,0.0074979040738079985
model_encoded_Future,0.007333256844643575
model_encoded_Vario,0.0062072767443299755
model_encoded_YAZ,0.006182584887544233
origin_encoded_Nước khác,0.005707677671905502
bike_type_encoded_Tay ga,0.005652222057192792
origin_encoded_Việt Nam,0.00529546718500411
brand_encoded_Yamaha,0.004934604497351428
origin_encoded_Hàn Quốc,0.0033396632294462932
segment_encoded_Honda | SH | 2010-2014,0.0033322690045363783
segment_encoded_Tay côn/Moto | Trên 175 cc,0.0031298686351398397
district_encoded_Huyện Bình Chánh,0.002933738410310604
model_encoded_Dòng khác,0.0026879511085481215
model_encoded_SH Mode,0.0025387965474360373
segment_encoded_Yamaha | Tay côn/Moto,0.0024922911062684695
model_encoded_Vespa,0.0023900725010111575
origin_encoded_Nhật Bản,0.0023268024222191865
model_encoded_Wave,0.00222762066398059
district_encoded_Quận Bình Thạnh,0.0017999598188927514
brand_encoded_Hãng khác,0.0017842943696800226
district_encoded_Quận Tân Phú,0.001685401089988246
district_encoded_Thành phố Thủ Đức,0.0016446359792704733
model_encoded_Mio,0.0016048656241193708
segment_encoded_Honda | Tay ga,0.0015338505604077686
capacity_encoded_Dưới 50 cc,0.001500821102561813
brand_encoded_Harley Davidson,0.0014986320566633916
segment_encoded_Honda | Wave | 2010-2014,0.001487799855484262
district_encoded_Quận 12,0.0014649462901404641
district_encoded_Huyện Hóc Môn,0.0013601518979468
origin_encoded_Đức,0.0013088502830461391
district_encoded_Huyện Củ Chi,0.0012730304821040087
model_encoded_Winner,0.0012265276499180476
segment_encoded_Yamaha | Exciter | 2000-2009,0.001223134200090211
segment_encoded_Yamaha | Tay ga,0.0012068052781700237
segment_encoded_Honda | Vario | 2015-2019,0.001093706970465017
origin_encoded_Đang cập nhật,0.0010791648877609649
district_encoded_Quận Tân Bình,0.0010741219472176914
model_encoded_Liberty,0.0010603490827947198
model_encoded_Vulcan,0.0010491298680629306
brand_encoded_Không rõ,0.0010382541972348178
capacity_encoded_50 - 100 cc,0.001026590585313956
brand_encoded_KTM,0.0009568621531054697
segment_encoded_Honda | Tay côn/Moto,0.0009230876692758881
model_encoded_Winner X,0.0009199241292394859
district_encoded_Quận Bình Tân,0.0008851359690806763
segment_encoded_Yamaha | Xe số,0.0008400938122335253
district_encoded_Quận 3,0.000830722375141094
district_encoded_Quận Gò Vấp,0.0008269903532625677
segment_encoded_Honda | SH | 2015-2019,0.0008121945331872316
district_encoded_Quận 8,0.0008117886546667993
origin_encoded_Mỹ,0.0007918719552636503
brand_encoded_Suzuki,0.0007504919407630231
district_encoded_Quận 5,0.000722418975850914
model_encoded_67,0.000710956593004936
district_encoded_Quận 10,0.0006873197705145461
segment_encoded_Honda | Dream | Trước 2000,0.0006561371292898758
model_encoded_Cub,0.000650956700364044
brand_encoded_Ducati,0.0006443903950446452
segment_encoded_Honda | Future | 2000-2009,0.0006378236318297855
segment_encoded_Yamaha | Exciter | 2020-2025,0.000631417931559473
segment_encoded_Honda | SH Mode | 2020-2025,0.0006306463332336759
district_encoded_Quận 1,0.0006001726513974868
brand_encoded_BMW,0.0005522391296759297
model_encoded_Click,0.0005313280438948559
model_encoded_Air Blade,0.0005145403595295856
district_encoded_Quận 7,0.0005108099463854487
model_encoded_Sirius,0.0005036426530653484
segment_encoded_SYM | Tay ga,0.000500372854520121
brand_encoded_Taya,0.000495763046760545
segment_encoded_SYM | Tay côn/Moto,0.00048510173473089157
model_encoded_Hayate,0.0004821652357709777
capacity_encoded_Không biết rõ,0.00046249003486090195
district_encoded_Quận 6,0.00044813829942953124
segment_encoded_Honda | Future | 2020-2025,0.0004457999669362975
model_encoded_Dream,0.00043992400675958043
model_encoded_Spacy,0.0004395024401912718
district_encoded_Không rõ,0.00042134578139032956
model_encoded_Axelo,0.0004160446622844628
segment_encoded_Honda | SH Mode | 2015-2019,0.00040466243785691655
model_encoded_W175,0.00039714620327959484
segment_encoded_Honda | Air Blade | 2010-2014,0.0003746788757325077
model_encoded_CB,0.0003746230840864236
segment_encoded_Honda | Air Blade | 2015-2019,0.0003667452075344073
segment_encoded_Suzuki | Xe số,0.00036335870598985353
brand_encoded_Triumph,0.0003472825551615054
brand_encoded_GPX,0.00033851550525441237
segment_encoded_Honda | Winner | 2015-2019,0.00033839973759087593
origin_encoded_Đài Loan,0.000335467581043868
model_encoded_Win,0.0003244996345632061
brand_encoded_Kawasaki,0.00031992304506300693
segment_encoded_Honda | Xe số,0.0003140912951209481
segment_encoded_Honda | SH | 2000-2009,0.0003094315900194536
segment_encoded_Piaggio | Vespa | 2010-2014,0.0003025955155499985
segment_encoded_Hãng khác | Dòng khác | 2020-2025,0.00029525604442854643
segment_encoded_SYM | Attila | 2000-2009,0.00029456852069864153
model_encoded_Rebel,0.0002868142325474887
model_encoded_Vision,0.00028468932326522803
model_encoded_Z1000,0.0002709608320625804
model_encoded_PG-1,0.00026880790735936053
model_encoded_Attila,0.000255127467102842
segment_encoded_Piaggio | Vespa | 2020-2025,0.000246878800932531
segment_encoded_Piaggio | Vespa | 2015-2019,0.00023710588545902182
district_encoded_Quận Phú Nhuận,0.00023307719737993173
segment_encoded_Honda | Wave | 2015-2019,0.00023147426334260064
model_encoded_Shark,0.00022288562138502737
segment_encoded_Honda | SH | 2020-2025,0.00021669473447740882
model_encoded_NM-X,0.00021430036960952756
model_encoded_Galaxy,0.00021180344624991413
model_encoded_PCX,0.00020396428685858897
segment_encoded_Yamaha | Nouvo | 2000-2009,0.00020231692122630554
segment_encoded_Nhóm hiếm,0.00019619460758560361
model_encoded_Lead,0.00019355475862590908
district_encoded_Huyện Nhà Bè,0.00019140944602525115
segment_encoded_Hãng khác | Dòng khác | Trước 2000,0.00018892200667123705
segment_encoded_SYM | Xe số,0.00018573271085640984
model_encoded_Epicuro,0.00018345435151648605
segment_encoded_Honda | Dòng khác | 2000-2009,0.00018345375169784747
model_encoded_Blade,0.0001788196186799274
model_encoded_Chaly,0.0001784634027810668
model_encoded_XSR,0.00017573837364530812
model_encoded_Sonic,0.0001743280345650424
brand_encoded_Bazan,0.00017187438840070686
segment_encoded_Honda | Air Blade | 2000-2009,0.00017080035914186453
segment_encoded_Piaggio | Liberty | 2010-2014,0.00016624160384853863
segment_encoded_Yamaha | Sirius | 2015-2019,0.0001621990823611283
district_encoded_Quận 11,0.0001609804361914421
segment_encoded_Honda | Vision | 2015-2019,0.0001540413956370567
segment_encoded_Honda | Wave | 2000-2009,0.0001538305160965961
segment_encoded_Honda | Click | 2000-2009,0.0001463946246347662
segment_encoded_Honda | Future | 2015-2019,0.00013629788531472527
model_encoded_Sprint,0.00013224754048671498
model_encoded_Kawasaki,0.00013188956485190567
model_encoded_CBR,0.0001307992466675735
model_encoded_Zip,0.0001248063422817718
segment_encoded_Honda | Dòng khác | 2020-2025,0.00012272720200011533
segment_encoded_Hãng khác | Dòng khác | 2015-2019,0.00011734597458939944
segment_encoded_Tay ga | Dưới 50 cc,0.00011643817717208715
segment_encoded_Honda | Dòng khác | Trước 2000,0.00011605683753496314
district_encoded_Quận 4,0.00011391890762487465
model_encoded_GTS,0.00010826368423588199
model_encoded_YB125,0.0001082249613779862
model_encoded_Janus,0.00010510726571731646
model_encoded_GZ,0.00010221556726566385
brand_encoded_Vento,9.70811474525701e-05
model_encoded_Shadow,9.0835593982137e-05
model_encoded_Satria,9.069959775139628e-05
origin_encoded_Ấn Độ,8.981957521939401e-05
model_encoded_R nine T,8.97924491666536e-05
model_encoded_Fly,8.483518297911139e-05
model_encoded_PS,8.342623684320646e-05
segment_encoded_Tay côn/Moto | 100 - 175 cc,8.314174861497696e-05
model_encoded_GT,8.268763338799223e-05
model_encoded_Không rõ,8.185296617117077e-05
segment_encoded_Suzuki | Tay côn/Moto,8.168319734249018e-05
model_encoded_48,7.93846214973296e-05
segment_encoded_Hãng khác | Dòng khác | 2000-2009,7.73287820824612e-05
model_encoded_@,7.58656799319793e-05
model_encoded_Jupiter,7.542820536119751e-05
segment_encoded_Honda | Lead | 2000-2009,7.171520486535728e-05
brand_encoded_Benelli,7.044899818027131e-05
model_encoded_Nvx,6.822915286250683e-05
segment_encoded_Yamaha | Sirius | 2020-2025,6.821897688104023e-05
model_encoded_Duke 200,6.420387390959216e-05
segment_encoded_Yamaha | Exciter | 2015-2019,6.409898597225552e-05
model_encoded_Grande,6.295662215640295e-05
